,articleid,level,sentiment_score,sentiment_magnitude,language,sentence_text,byline,section,item_type,material_type_facet,des_facet,org_facet,per_facet,geo_facet,title,abstract,first_published_date,first_published_date_parsed
0,Doc1,document,0.0,0.0,en,,,,,,,,,,,,,
1,Doc1,sentence,0.0,0.0,,Test,,,,,,,,,,,,
0,16shelton-obit,document,0.30000001192092896,0.6000000238418579,en,,BY JASON BAILEY,Obituaries,Article,News,['Movies'],,"['Shelton, Lynn', 'Maron, Marc']",,"Lynn Shelton, Director of Intimate Comic-Dramas, Dies at 54","The filmmaker got a late start on her career but won acclaim for a freewheeling style that made room for contributions from actors like Marc Maron, who survives her.",2020-05-16T17:40:59-04:00,2020-05-16 22:40:59+01:00
1,16shelton-obit,sentence,0.0,0.0,,"Lynn Shelton, Director of Intimate Comic-Dramas, Dies at 54.",BY JASON BAILEY,Obituaries,Article,News,['Movies'],,"['Shelton, Lynn', 'Maron, Marc']",,"Lynn Shelton, Director of Intimate Comic-Dramas, Dies at 54","The filmmaker got a late start on her career but won acclaim for a freewheeling style that made room for contributions from actors like Marc Maron, who survives her.",2020-05-16T17:40:59-04:00,2020-05-16 22:40:59+01:00
2,16shelton-obit,sentence,0.6000000238418579,0.6000000238418579,,"The filmmaker got a late start on her career but won acclaim for a freewheeling style that made room for contributions from actors like Marc Maron, who survives her.",BY JASON BAILEY,Obituaries,Article,News,['Movies'],,"['Shelton, Lynn', 'Maron, Marc']",,"Lynn Shelton, Director of Intimate Comic-Dramas, Dies at 54","The filmmaker got a late start on her career but won acclaim for a freewheeling style that made room for contributions from actors like Marc Maron, who survives her.",2020-05-16T17:40:59-04:00,2020-05-16 22:40:59+01:00
0,17wordplay-wide-open-spaces,document,0.0,1.2999999523162842,en,,BY CAITLIN LOVINGER,Crosswords & Games,Article,News,['Crossword Puzzles'],,"['Walden, Byron (Crossword Constructor)']",['Dalian (China)'],Wide-Open Spaces,Byron Walden slows our roll with a tough Sunday puzzle.,2020-05-16T17:40:06-04:00,2020-05-16 22:40:06+01:00
1,17wordplay-wide-open-spaces,sentence,0.5,0.5,,Wide-Open Spaces.,BY CAITLIN LOVINGER,Crosswords & Games,Article,News,['Crossword Puzzles'],,"['Walden, Byron (Crossword Constructor)']",['Dalian (China)'],Wide-Open Spaces,Byron Walden slows our roll with a tough Sunday puzzle.,2020-05-16T17:40:06-04:00,2020-05-16 22:40:06+01:00
2,17wordplay-wide-open-spaces,sentence,-0.699999988079071,0.699999988079071,,Byron Walden slows our roll with a tough Sunday puzzle.,BY CAITLIN LOVINGER,Crosswords & Games,Article,News,['Crossword Puzzles'],,"['Walden, Byron (Crossword Constructor)']",['Dalian (China)'],Wide-Open Spaces,Byron Walden slows our roll with a tough Sunday puzzle.,2020-05-16T17:40:06-04:00,2020-05-16 22:40:06+01:00
0,16hometest2,document,0.20000000298023224,0.800000011920929,en,,BY SHEILA KAPLAN,Health,Article,News,"['Tests (Medical)', 'Laboratories and Scientific Equipment', 'Coronavirus (2019-nCoV)']","['Food and Drug Administration', 'Everlywell Inc']","['Shuren, Jeffrey E']",,F.D.A. Clears Another Coronavirus Testing Kit for Use at Home,The agency granted emergency clearance for a testing kit that allows a consumer to take a nasal sample at home and send it to a laboratory for the diagnosis.,2020-05-16T17:20:54-04:00,2020-05-16 22:20:54+01:00
1,16hometest2,sentence,0.30000001192092896,0.30000001192092896,,F.D.A.,BY SHEILA KAPLAN,Health,Article,News,"['Tests (Medical)', 'Laboratories and Scientific Equipment', 'Coronavirus (2019-nCoV)']","['Food and Drug Administration', 'Everlywell Inc']","['Shuren, Jeffrey E']",,F.D.A. Clears Another Coronavirus Testing Kit for Use at Home,The agency granted emergency clearance for a testing kit that allows a consumer to take a nasal sample at home and send it to a laboratory for the diagnosis.,2020-05-16T17:20:54-04:00,2020-05-16 22:20:54+01:00
